"meanpatternX" "meanpatternY" "meanpatternZ"
"1" 1.94666666666667 -0.0166666666666667 1.79666666666667
"2" 2.47333333333333 0.841666666666667 0.511666666666667
"3" 1.27 -1.06 0.938333333333333
"4" -0.56 -3.71166666666667 1.76333333333333
"5" 5.635 -8.72166666666667 -6.04
"6" 25.6966666666667 5.225 -20.53
"7" 13.6916666666667 27.8066666666667 -28.3933333333333
"8" -44.2316666666667 11.59 -17.8416666666667
"9" -19.1766666666667 12.755 -1.18
"10" 2.565 7.18333333333333 -11.2083333333333
"11" 0.431666666666667 5.46833333333333 -2.83333333333333
"12" 0.831666666666667 3.49666666666667 0.385
"13" 1.01333333333333 1.725 2.42666666666667
